Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,10223,7873,311,2039
PN,10079,8298,375,1406
KE,10027,7941,562,1524
KW,9812,7732,346,1734
GN,9343,7519,524,1300
RS,8757,6717,258,1782
S,8679,6904,491,1284
N,8515,6707,430,1378
T,7553,5876,191,1486
D,7439,5737,267,1435
FS,7418,6111,393,914
GS,6888,5676,428,784
L,6722,5466,475,781
FN,6432,5097,326,1009
E,6352,5137,315,900
PS,5970,4672,255,1043
ME,5498,4455,327,716
HE,5496,4375,362,759
HW,5020,3979,214,827
MW,4836,3885,312,639
RN,4746,3531,168,1047
A,4192,3457,78,657
C,2390,1977,108,305
B,1430,1108,97,225
