Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,11580,9156,338,2086
KW,11084,8779,358,1947
PN,11054,9170,399,1485
KE,10940,8978,580,1382
GN,10029,8284,544,1201
RS,9746,7703,284,1759
S,9390,7553,511,1326
N,9244,7583,443,1218
T,8364,6670,204,1490
D,8249,6769,284,1196
FS,7931,6687,410,834
GS,7406,6134,440,832
L,7192,5933,476,783
FN,7140,6343,342,455
E,6879,5636,331,912
PS,6569,5309,271,989
ME,6010,4887,334,789
HE,5977,4817,367,793
HW,5792,4493,217,1082
MW,5338,4216,317,805
RN,5328,4104,180,1044
A,4559,3814,79,666
C,2642,2159,111,372
B,1563,1239,98,226
