Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,10927,8359,328,2240
PN,10548,8579,388,1581
KE,10517,8228,574,1715
KW,10475,8134,349,1992
GN,9704,7734,537,1433
RS,9272,7060,268,1944
S,9004,7240,496,1268
N,8871,7056,435,1380
T,7987,6125,198,1664
D,7848,6299,274,1275
FS,7657,6336,403,918
GS,7134,5891,435,808
L,6935,5673,475,787
FN,6794,5221,334,1239
E,6594,5330,324,940
PS,6282,4929,266,1087
ME,5792,4545,332,915
HE,5715,4460,363,892
HW,5420,4232,216,972
MW,5094,4033,314,747
RN,5038,3730,175,1133
A,4367,3646,78,643
C,2498,2061,110,327
B,1501,1167,97,237
