Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,11106,8537,328,2241
PN,10682,8667,392,1623
KW,10638,8160,350,2128
KE,10627,8254,576,1797
GN,9788,7752,539,1497
RS,9386,7115,275,1996
S,9081,7264,499,1318
N,8977,7134,438,1405
T,8088,6165,202,1721
D,7976,6318,277,1381
FS,7717,6372,404,941
GS,7211,5904,437,870
L,6986,5780,475,731
FN,6887,5246,339,1302
E,6672,5355,325,992
PS,6354,4940,266,1148
ME,5855,4551,333,971
HE,5777,4482,363,932
HW,5492,4255,217,1020
MW,5167,4044,316,807
RN,5120,3803,176,1141
A,4422,3670,78,674
C,2546,2079,110,357
B,1520,1169,97,254
