Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,11954,9425,345,2184
KW,11391,9089,363,1939
PN,11277,9437,407,1433
KE,11178,9153,584,1441
GN,10200,8482,547,1171
RS,9950,7930,290,1730
S,9536,7669,515,1352
N,9397,7728,447,1222
T,8535,6876,207,1452
D,8456,6966,287,1203
FS,8037,6757,415,865
GS,7519,6292,441,786
L,7304,6070,480,754
FN,7277,6341,349,587
E,7016,5749,334,933
PS,6737,5506,272,959
ME,6096,5006,336,754
HE,6092,4893,374,825
HW,5976,4622,220,1134
RN,5441,4270,181,990
MW,5433,4339,319,775
A,4637,3880,80,677
C,2701,2213,114,374
B,1595,1267,101,227
