Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,10537,8092,319,2126
PN,10302,8430,380,1492
KE,10232,8071,568,1593
KW,10139,7967,347,1825
GN,9520,7609,531,1380
RS,8999,6971,265,1763
S,8819,7009,493,1317
N,8665,6857,433,1375
T,7763,6052,194,1517
D,7627,6258,269,1100
FS,7526,6290,398,838
GS,6992,5794,433,765
L,6829,5576,475,778
FN,6590,5178,327,1085
E,6462,5220,318,924
PS,6112,4788,260,1064
ME,5666,4487,328,851
HE,5609,4401,362,846
HW,5185,4039,215,931
MW,4955,3963,314,678
RN,4866,3637,170,1059
A,4252,3596,78,578
C,2429,2010,110,309
B,1467,1125,97,245
