Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,11450,8969,336,2145
KW,10939,8628,356,1955
PN,10922,9047,397,1478
KE,10838,8904,579,1355
GN,9965,8177,541,1247
RS,9638,7646,282,1710
S,9285,7469,506,1310
N,9164,7491,442,1231
T,8287,6609,202,1476
D,8174,6670,283,1221
FS,7879,6594,408,877
GS,7354,6051,440,863
L,7136,5870,476,790
FN,7068,5516,341,1211
E,6809,5585,330,894
PS,6492,5193,269,1030
ME,5956,4875,333,748
HE,5923,4675,366,882
HW,5711,4432,217,1062
RN,5290,4050,179,1061
MW,5283,4162,317,804
A,4535,3731,79,725
C,2621,2129,111,381
B,1554,1218,98,238
