Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,10733,8284,323,2126
PN,10427,8474,385,1568
KE,10375,8179,571,1625
KW,10331,8032,348,1951
GN,9597,7718,532,1347
RS,9112,6999,267,1846
S,8874,7213,495,1166
N,8749,7015,434,1300
T,7895,6090,196,1609
D,7745,6281,272,1192
FS,7586,6330,400,856
GS,7065,5813,435,817
L,6884,5628,475,781
FN,6700,5193,330,1177
E,6532,5277,322,933
PS,6203,4848,265,1090
ME,5717,4541,330,846
HE,5675,4453,363,859
HW,5309,4054,216,1039
MW,5016,3998,314,704
RN,4950,3701,172,1077
A,4305,3611,78,616
C,2461,2017,110,334
B,1487,1163,97,227
